author,comment,replied_to
@econYT,"Support my research and projects: https://ko-fi.com/econyt
Hi! Awesome people of the internet.
-Comments and suggestions are welcome.
-Please share videos with people who you think might enjoy this content.
-Don't forget to subscribe for more economics content! 
You are awesome :)",
@leealex24,Vietnam is still plagued by lack of regulation and corruption.,@econYT
@taslimali4740,"Hey i subscribed to your channel, could you please do a documentary on tamil nadu's economy. It would be highly appreciated.",@econYT
@MSDGroup-ez6zk,Bill Clinton has signed an agreement with Vietnam to make it world manufactures to replace China. That's why Vietnam has experienced 0% for its import fee to the USA as its status as a developing country thus it will experience special treatment for export Import.,@econYT
@kaingchhaylong2762,Hi can u talk about Cambodia economy??,@econYT
@天王青青,All western countries are authoritarian countries.,@econYT
@francis994,The narrator must come from Lancashire,
@blewme6448,Well this age like milk after the new tariff fee,
@存wdnmd3ool,按照文化划分，越南和中日韩很很多共同点，相信越南在不久的将来会取得和中日韩一样的经济成就！但是一定要保持好你们悠闲和放松的状态，千万不要像中日韩一样卷😢,
@DienPhan-n9v,Communist Vietnam 🇻🇳 is different.,
@Lunariafox-q1v,Love from Poland,
@andrewferguson887,"Vietnams tourism has tanked the last couple of years, and so has their real estate market big time.  Beautiful country and people, so get over there for a holiday and support them.",
@mytanusb,"Việt Nam, Hồ Chí Minh, i love Vietnam ❤🇻🇳",
@TràHương-k7g,"as a next generation, i feel really proud of our ancestors, without them, there wouldn't be Vietnam which is strongly developing as today",
@user-vv7ir1pl4j,shit video every time i hear a british accent in a video i know its just going to be bad content,
@earlysda,"2:13 ""showing Communist intelligence and bravery""??? Why do you string oxymorons together?",
@WilliamSchober-l8g,I sure the people will have a better life and grow in prosperity.❤,
@realSonNguyen,"I want to correct one thing at 12:29: Vietnam never ever had a ""one child policy"". Policies changed over time but most of them are try to make people stop at 2 children, not restrict them to 1 child hardly.",
@KimHồngNguyễnThị-l9p,"Vietnam has a quite strong corporation called Vingroup 
But except for the real estate and apartment business, their products are received quite limitedly 
They even have a car manufacturing company (not really).🙄",
@andrefadyl,I love Vietnam ability to standout with integrity maintaining balance between US and China. Vietnam integration to the worlds internet give its people greater maturity with pride. We are proud to be called one community and develop the ASEAN region greater together. Greetings from Indonesia !,
@bountyhunter9511,Vietnam will not become rich until they fix their visa’s.   They need a retirement visa plan.,
@vecknomadium,Lols propaganda. The dude needs to understand Communism,
@Zoloftmoncky,"I have been blessed with $85,000 every 12 weeks!! I can now buy anything and also support my family and work for more. God bless Sophie Rogerz.",
@Daniel-v7g1d,"If I may ask, how do you manage to earn so much? What are your strategies?",@Zoloftmoncky
@Zoloftmoncky,"Dive into the digital market is indeed advisable, but it requires expert guidance, and with Mrs. Sophie Rogerz, you can't go wrong",@Zoloftmoncky
@Daniel-v7g1d,How? I would appreciate if you could show me her information.,@Zoloftmoncky
@arranoneo,I am a farmer and I understood how to take bank loans after discovering Sophie Rogerz my life changed,@Zoloftmoncky
@Crestal-g6h,"Wow, it is great to see my mentor being praised. I thought I was the only one who knew about Ms. Sofia Rogerz. Her good work, she has built a great legacy.",@Zoloftmoncky
@StoryFlorida,"Vietnam could become the next Asian economic powerhouse, but only if it tackles corruption and improves its infrastructure to attract more high-tech investments",
@jon_nomad,"I have been to Vietnam many times. If Vietnam concentrates on infrastructure and their relationship with China, Vietnam can be on par with Malaysia per capita in 10 years. Vietnamese culture and work ethics are very similar to Southern Chinese. I am very sure Vietnam can excel much better than any Southeast Asian nations.... they have a resource other ASEAN nations, apart from Singapore, don't have.. human resources",
@fktygglbtchbtch1384,"Like most asian countries, richer for the richer, poorer for the poor.",
@LouSaudi,yahh right stop the bullshit,
@WanderlustDiary2025,"Thank you for the video, I will look forward to the next videos",
@AgathaLOutahere,It's interesting that before 1975 and reunification Saigon was better developed and wealthier than Hanoi and now half a century after the anti-south regime took complete control Saigon is still wealthier than Hanoi.,
@saigonmonopoly1105,If Vietnam turns to port transit it will dominate all cargo swn,
@jamesalias595,"Will it grow rich before it grows old. Most developing countries get stuck in the middle income trap and then demographics catch them so they can't grow. It will definitely reach the level of Thailand in future, but will it get to the level of South Korea, doubtful.",
@dale7326,"No sadly, none of that really matter to the people but the one’s in power",
@sitagiang9523,Please don't put American flad and china flag on vietnam . We have our flag 😡,
@NhungĐỗ-l7j,🇻🇳🇻🇳🎉❤,
@huongphamthi4946,Dishonest video Vietnam has nothing good,
@yogatanaya6833,Indonesia ?  Still queueing for LPG gas 🤣😭,
@BizarreWorldAdventures361,"That’s an important distinction! While China had a strict one-child policy for decades, Vietnam’s approach has been more about encouragement rather than enforcement. The two-child policy in Vietnam was more of a guideline, with social or workplace consequences for government employees rather than legal penalties for the general public.

It’s interesting how different countries handle population control. Vietnam’s policy aimed to balance population growth with economic development, but it never reached the extreme measures seen in China. Do you think this policy has had a lasting impact on Vietnamese society?",
@sonltt,what a stupid title 😅,
@PopsKrispy-ph9de,S. (89 lbs upP 🍜) S,
@PopsKrispy-ph9de,still 🚬🔥there ↩️ CO.  euR BiEN ⚡,
@PopsKrispy-ph9de,S. ( 89  ) S,
@hungz1241_axa,"Vietnam is Socialism republic country,",
@MbraiIn,Use Pixelfed 👌🏻💯,
@syphan6513,If the viet công not taking over our south vietnam is rich already  . People use to came in our south vietnam working not other way around,
@autv4502,Cali con,@syphan6513
@syphan6513,@@autv4502 bác kỳ ăn cá rô ti,@syphan6513
@bouwah85,Never too late to thrive,
@TheTiger_2545,Nothing is certain anymore,
@Nntanh257,"12:30 wrong, it’s two-child policy and only aggressive to member of communist party which accounts for only 2-3% of population",
@tiffanyvang9814,"America is rich as a whole, but a few billionaires hold more than half of America GDP. The majority of Americans are still struggling, or suffering.

So, tt doesn't matter to Vietnamese if the country is rich or not. What matter is each of its peiple has enough what they need to live happily. Vietnam can be ""poor"" if the measurement relies on US dollar. However, if measured by the standard of happiness: if they have enough food to eat, a stable place to live, if they feel happy about their lives, then more Americans suffer their lives than Vietnamese.
If measured by homelessness, by amount of people who receive the healthcare they need, Vietnam is much better than America.",
@mnblkjh6757,🤣😂,
@romenguyen9389,"A lot of bitter, jealous ///que perpetual losers from the corrupted south governance regime in here 😂",
@Ihadanicename,Communism is holding the country back ngl,
@JerseyCityGuy,Did we mention corruption? A good portion of the GDP stolen? Vietnam will never significantly improve until this is addressed.,
@DailyLessonsFromHoChiMinh,Vietnam is a destination for many nations.,
@rhonyroyce,"Met a lot of Vietnamese in California. They are fantastic and very friendly people. As an Indian American, I wish both Vietnam and India prosperity.",
@Gg-9949,"I am glad you said that. But be careful with them, because there are about a million Vietnamese who are actually reactionaries living there, they are against our country Vietnam, destroying the culture and economy, politics and thoughts of some Vietnamese people, they are not bad in nature but they have wrong views about Vietnam since the war due to ideological differences and manipulation by foreign imperialist powers. You all understand this, right!, we are socialists so we always encounter these kinds of people.",@rhonyroyce
@danynguyen3993,@@rhonyroyce lots of Indian doctors in CA.  Very smart and kindness Indian friends here,@rhonyroyce
@siddude,"Vietnam is a communist dictatorship and the poverty was a direct result of stupid communist policies made by idiot Communists in power.  It's kind of ironic that the communist rulers had to eat up their ca ca and invite capitalist countries for investments, trade, and technology in order to avoid total collapse.  Vietnam cannot be a normal country without the liberalization of its political system.   An advanced country cannot be an advanced country without an advanced political system.  The biggest disaster to Vietnam is the poisonous ideology of communism.",
@EastLakeWatch,Việt Nam need to get rid ò that stupid Hu Kwan (aka Heo Chó Mèo) and that bloody Fukien ChiNazi flag then the country will be great again!,@siddude
@B.Rights,"After living in Vietnam for 13 years my optimism disappeared. Infrastructure is a joke and the corruption combined with such short sighted vision, i think Vietnam is destined to go backwards once automation makes their economy obsolete.",
@dandevere5736,"I wonder where this guy got his data from. I have lived in VN since 1989. The economy here went in the toilet during the Covid scam and has not come back. There are empty buildings for rent all over Saigon, the F and B business are all suffering, the economy is flat as a pancake. Don't buy this BS!",
@TrungHưngNguyễn-t1w,"2024: thực sự mà nói người dân Việt Nam sống gọi là đủ ăn còn chiếm tỉ lệ cũng phải ít nhất là 80%, chưa đủ dư tiền cho việc tiết kiệm, dành dụm lúc ốm đau… Tôi nghĩ đất nước ngày càng phát triển là tốt, phát triển 1 cách bền vững nội lực từ bên trong chính của ng dân trong nước kết hợp vs bên ngoài làm cho cs ng dân khá giả lên , chứ theo đuổi mục tiêu 2045 trở thành nước thu nhập cao quả là gian lan, như bài viết trên thì hiện tại chúng ta quá phụ thuộc phần lớn là đầu tư các cty nước ngoài là chính thì khó giàu mạnh lắm ,",
@NgọcĐứcTrần-q4f,"Đây là 1 góc nhìn từ bên ngoài khi nói về VN. Phần nào chấp nhận về mặt số liệu và phân tích số liệu. Tuy nhiên nếu phân tích vấn đề mà chỉ nhìn từ 1 góc thì sẽ rất khó đánh giá khách quan được. VN có con đường riêng của mình, và người dân VN cũng ko cần thiết phải có thu nhập bình quân cao như các nc khác để có thể cảm thấy hạnh phúc. Hãy nhìn nhận thế giới để thấy có mấy nc có nền chính trị và xã hội ổn định như VN. Những cụm từ tự do tôn giáo và nhân quyền này nọ là luận điệu chống phá của lũ tư bản tự coi mình là thượng đẳng. Xin nhắc lại, VN có con đường của riêng mình, nếu nó sai thì bây giờ VN đã ko có vị thế này, nên đừng lôi mấy cái GDP rồi thu nhập bq đầu n ra để so này nọ. Tác giả hãy tới VN sống đi vài tháng hoặc 1 năm để tìm hiểu thêm nhé.",
@geographicalfacts25,Vietnam so beatyfull in my heart !!!! love vietnam,
@tappham-xf2kw,Kênh nói đúng đó.đúng như thực tiễn và tương lai của vn.,
@ynguyen3288,Việt Nam number one Asia ❤🎉😊,
@习包子-独裁,"Vietnam is bound to become a developed country, provided that it remains at peace with China. In this way, China will move some of its economy to Vietnam and import some of the products that it needs from each other. Apparently Vietnam has become one of China's top importers, and China has built a lot of new energy sources and sent electricity to other nearby neighbors",
